a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_d,et_h_c_orig,et_h_c_v2
2,8,4,0.0,0.0,1,66,1000,1,1
18,11,20,0.0,0.0,2,3,1000,2,1000
20,17,14,0.0,0.0,2,2,1000,2,1000
20,8,13,0.0,0.0,7,1,1000,3,1000
20,15,3,0.0,0.0,3,1,1000,3,1000
14,6,12,0.0,0.0,3,1,1000,2,1000
8,6,11,0.0,0.0,2,3,1000,1,1000
15,14,9,0.0,0.0,2,2,1000,2,1000
10,6,18,0.0,0.0,2,4,1000,1,4
14,20,13,0.0,0.0,2,3,1000,1,1000
14,13,5,0.0,0.0,3,1,1000,2,1000
7,4,11,0.0,0.0,2,3,1000,1,5
12,5,6,0.0,0.0,6,1,1000,3,1000
4,8,10,0.0,0.0,1,1000,1000,1,2
19,18,18,0.0,0.0,2,3,1000,2,1000
11,9,7,0.0,0.0,3,2,1000,2,1000
10,9,18,0.0,0.0,1,6,1000,1,1000
8,11,5,0.0,0.0,2,2,1000,2,1000
2,16,17,0.0,0.0,1,2,1000,1,1
12,9,9,0.0,0.0,2,2,1000,2,1000
3,16,20,0.0,0.0,1,2,1000,1,1
2,11,17,0.0,0.0,1,2,1000,1,1
10,1,16,0.0,0.0,2,1,1000,2,1
19,5,20,0.0,0.0,3,1,1000,2,3
9,7,10,0.0,0.0,2,3,1000,2,1000
10,10,7,0.0,0.0,2,2,1000,2,1000
12,4,1,0.0,0.0,1000,1,1000,8,1000
6,8,2,0.0,0.0,2,1,1000,2,1000
8,1,5,0.8016032064128257,21.2625,1000,1,1000,6,5
9,12,14,0.0,0.0,1,6,1000,1,1000
13,4,19,0.0,0.0,2,1,1000,2,2
6,8,3,0.0,0.0,2,2,1000,2,1000
15,7,7,0.0,0.0,6,1,1000,3,1000
2,4,13,0.0,0.0,1,7,1000,1,1
15,1,17,0.4709418837675351,63.795744680851065,4,1,1000,3,1
15,15,1,0.0,0.0,2,1,1000,2,1000
4,12,8,0.0,0.0,1,1000,1000,1,1
12,2,11,0.0,0.0,4,1,1000,4,3
12,11,9,0.0,0.0,2,2,1000,2,1000
3,16,2,0.0,0.0,1,2,1000,1,4
3,15,9,0.0,0.0,1,4,1000,1,1
11,3,9,0.0,0.0,5,1,1000,3,4
6,16,11,0.0,0.0,1,1000,1000,1,2
5,6,4,0.0,0.0,2,3,1000,2,1000
2,3,6,0.0,0.0,1,1000,1000,1,3
10,14,11,0.0,0.0,2,4,1000,1,1000
6,4,5,0.0,0.0,3,2,1000,2,1000
6,17,5,0.0,0.0,1,3,1000,1,8
15,13,6,0.0,0.0,3,1,1000,2,1000
16,17,11,0.0,0.0,2,2,1000,2,1000
13,8,11,0.0,0.0,3,2,1000,2,1000
2,14,7,0.0,0.0,1,3,1000,1,1
12,10,19,0.0,0.0,2,4,1000,1,1000
13,10,9,0.0,0.0,3,2,1000,2,1000
9,3,3,0.0,0.0,1000,1,1000,5,1000
12,12,3,0.0,0.0,2,1,1000,2,1000
20,4,4,0.0,0.0,1000,1,1000,1000,1000
4,3,14,0.0,0.0,1,8,1000,1,3
4,16,11,0.0,0.0,1,7,1000,1,1
17,9,4,0.0,0.0,5,1,1000,3,1000
17,8,11,0.0,0.0,4,1,1000,2,1000
12,3,12,0.0,0.0,4,1,1000,2,3
11,11,1,0.0,0.0,2,1,1000,2,1000
14,8,20,0.018036072144288578,5.777777777777778,2,3,1000,2,5
16,16,15,0.0,0.0,2,3,1000,2,1000
6,17,16,0.0,0.0,1,1000,1000,1,1
17,11,11,0.0,0.0,3,1,1000,2,1000
15,11,4,0.006012024048096192,3.0,3,1,1000,3,1000
8,5,19,0.0,0.0,1,7,1000,1,3
5,4,13,0.0,0.0,1,1000,1000,1,9
11,20,4,0.0,0.0,2,1,1000,1,1000
4,16,12,0.0,0.0,1,19,1000,1,1
17,15,9,0.0,0.0,2,2,1000,2,1000
15,9,20,0.0,0.0,2,3,1000,2,8
3,12,6,0.0,0.0,1,66,1000,1,1
19,10,20,0.0,0.0,2,2,1000,2,16
4,20,9,0.0,0.0,1,4,1000,1,1
8,19,11,0.0,0.0,1,1000,1000,1,2
16,12,1,0.0,0.0,3,1,1000,3,1000
6,4,6,0.0,0.0,2,3,1000,2,1000
5,5,16,0.0,0.0,1,1000,1000,1,1000
7,8,13,0.0,0.0,1,7,1000,1,1000
11,16,13,0.0,0.0,2,4,1000,1,1000
16,20,1,0.0,0.0,2,1,1000,2,1000
10,6,7,0.0,0.0,3,1,1000,2,1000
6,6,13,0.0,0.0,1,1000,1000,1,1000
11,1,10,0.10020040080160321,13.7,5,1,1000,4,1
20,19,8,0.0,0.0,2,1,1000,2,1000
14,17,18,0.0,0.0,2,4,1000,1,1000
12,3,5,0.0,0.0,1000,1,1000,33,1000
7,8,20,0.0,0.0,1,1000,1000,1,1000
12,4,8,0.08817635270541083,16.704545454545453,8,1,1000,3,1000
18,11,11,0.0,0.0,3,1,1000,2,1000
18,11,17,0.0,0.0,2,2,1000,2,1000
6,8,19,0.0,0.0,1,1000,1000,1,6
2,5,4,0.0,0.0,1,1000,1000,1,2
2,6,7,0.0,0.0,1,1000,1000,1,1
18,20,7,0.0,0.0,2,1,1000,2,1000
18,19,20,0.0,0.0,2,3,1000,1,1000
10,15,13,0.0,0.0,2,6,1000,1,1000
9,13,12,0.0,0.0,2,6,1000,1,1000
16,20,7,0.0,0.0,2,2,1000,2,1000
9,9,20,0.0,0.0,1,1000,1000,1,1000
10,17,1,0.0,0.0,2,1,1000,2,1000
19,2,20,0.0,0.0,4,1,1000,3,1
19,9,2,0.0,0.0,5,1,1000,4,1000
3,4,20,0.0,0.0,1,4,1000,1,2
10,14,19,0.0,0.0,1,28,1000,1,1000
15,15,10,0.0,0.0,2,2,1000,2,1000
7,16,12,0.0,0.0,1,1000,1000,1,2
4,15,17,0.0,0.0,1,129,1000,1,1
10,18,1,0.0,0.0,2,1,1000,2,1000
6,16,15,0.0,0.0,1,1000,1000,1,1
